,name,year,score,consensus,staring,director
125,"Crouching Tiger, Hidden Dragon",2001,97%,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.","Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,Chen Chang",Ang Lee
126,Predator,1987,81%,"Predator: Part sci-fi, part horror, part action -- all muscle.","Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key",Shane Black
127,The Bourne Ultimatum,2007,92%,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.","Matt Damon,Julia Stiles,David Strathairn,Scott Glenn",Paul Greengrass
128,Total Recall,1990,82%,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.","Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone,Ronny Cox",Paul Verhoeven
129,Mad Max 2: The Road Warrior,1982,93%,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.","Mel Gibson,Bruce Spence,Vernon Wells,Emil Minty",George Miller
130,Heat,1995,87%,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.","Al Pacino,Robert De Niro,Val Kilmer,Jon Voight",Michael Mann
131,The Raid: Redemption,2012,86%,"No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment.","Iko Uwais,Joe Taslim,Doni Alamsyah,Yahan Ruhian",Gareth Evans
132,Mission: Impossible - Fallout,2018,97%,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.","Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg",Christopher McQuarrie
133,Raiders of the Lost Ark,1981,95%,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.","Harrison Ford,Karen Allen,Paul Freeman,Wolf Kahler",Steven Spielberg
134,Aliens,1986,97%,"While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.","Sigourney Weaver,Carrie Henn,Michael Biehn,Paul Reiser",James Cameron
135,Lat sau san taam (Hard-Boiled),1992,94%,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.","Yun-Fat Chow,Tony Leung Chiu Wai,Anthony Wong,Teresa Mo",John Woo
136,The Matrix,1999,88%,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Joe Pantoliano",Lilly Wachowski
137,Terminator 2: Judgment Day,1991,93%,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick",James Cameron
138,Die Hard,1988,94%,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.,"Bruce Willis,Alan Rickman,Reginald VelJohnson,Bonnie Bedelia",John McTiernan
139,Mad Max: Fury Road,2015,97%,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.","Tom Hardy,Charlize Theron,Nicholas Hoult,Rosie Huntington-Whiteley",George Miller
